T1,T2,T1 PTS,T2 PTS,T1 FGA,T1 FGM,T2 FGA,T2 FGM,T1 PCT,T2 PCT,RESULT,DIFF
Oberlin2022,Ohio Northern2022,58,62,56,22,56,21,0.3928571429,0.375,0,-4
Oberlin2022,CWRU2022,66,78,52,21,58,29,0.4038461538,0.5,0,-12
Oberlin2022,Allegheny2022,81,75,61,30,60,27,0.4918032787,0.45,1,6
Oberlin2022,Otterbein2022,57,58,65,25,60,21,0.3846153846,0.35,0,-1
Oberlin2022,Kalamazoo2022,73,67,49,23,55,23,0.4693877551,0.4181818182,1,6
Oberlin2022,Carnegie Mellon2022,68,87,64,26,64,28,0.40625,0.4375,0,-19
Oberlin2022,Alma2022,76,61,63,31,74,23,0.4920634921,0.3108108108,1,15
Oberlin2022,Wabash2022,78,80,64,32,53,31,0.5,0.5849056604,0,-2
Oberlin2022,Denison2022,41,56,61,17,61,21,0.2786885246,0.3442622951,0,-15
Oberlin2022,Hiram2022,98,101,80,38,63,34,0.475,0.5396825397,0,-3
Oberlin2022,Adrian2022,66,56,59,25,64,21,0.4237288136,0.328125,1,10
Oberlin2021,Waynesburg2021,45,42,47,16,56,17,0.3404255319,0.3035714286,1,3
Oberlin2021,Alma2021,67,59,51,21,62,20,0.4117647059,0.3225806452,1,8
Oberlin2021,Manchester2021,73,75,59,28,61,27,0.4745762712,0.4426229508,0,-2
Oberlin2021,Carnegie Mellon2021,64,84,56,20,56,29,0.3571428571,0.5178571429,0,-20
Oberlin2021,Wooster2021,51,62,62,20,57,24,0.3225806452,0.4210526316,0,-11
Oberlin2021,Kalamazoo2021,47,70,53,19,49,27,0.358490566,0.5510204082,0,-23
Oberlin2021,Wabash2021,87,85,57,30,63,32,0.5263157895,0.5079365079,1,2
Oberlin2021,Kenyon2021,82,69,69,31,64,26,0.4492753623,0.40625,1,13
Oberlin2021,DePauw2021,52,63,54,21,55,24,0.3888888889,0.4363636364,0,-11
Oberlin2021,Wabash2021,74,75,63,31,64,23,0.4920634921,0.359375,0,-1
Oberlin2021,Wittenberg2021,75,77,66,27,49,27,0.4090909091,0.5510204082,0,-2
Oberlin2021,Kenyon2021,77,66,52,27,72,26,0.5192307692,0.3611111111,1,11
Oberlin2021,Ohio Wesleyan2021,78,79,59,29,61,29,0.4915254237,0.4754098361,0,-1
Oberlin2021,Hiram2021,70,76,57,23,53,25,0.4035087719,0.4716981132,0,-6
Oberlin2021,Allegheny2021,70,77,67,24,58,24,0.3582089552,0.4137931034,0,-7
Oberlin2021,Wooster2021,63,69,53,25,58,24,0.4716981132,0.4137931034,0,-6
Oberlin2021,Wittenberg2021,60,64,49,22,46,21,0.4489795918,0.4565217391,0,-4
Oberlin2021,Ohio Wesleyan2021,58,69,57,23,59,28,0.4035087719,0.4745762712,0,-11
Oberlin2021,Denison2021,58,70,53,22,64,28,0.4150943396,0.4375,0,-12
Oberlin2021,DePauw2021,71,57,49,28,54,21,0.5714285714,0.3888888889,1,14
